text,label
Burning smell coming from machine,Repair Required
Machine is shaking a lot,Repair Required
Temperature is stable,Normal
Machine operating correctly,Normal
Motor is overheating,Repair Required
Equipment functioning as expected,Normal
Machine is getting very hot,Repair Required
Minor vibration detected,Service Required
Machine performance is normal,Normal
Heavy vibration detected,Repair Required
Motor making small noise,Service Required
Machine requires maintenance,Service Required
Machine is shaking a lot,Repair Required
Machine is shaking a lot,Repair Required
Everything is working fine,Normal
No issues found in the machine,Normal
No issues found in the machine,Normal
Machine is running smoothly,Normal
Machine is getting very hot,Repair Required
Equipment functioning as expected,Normal
Machine performance is normal,Normal
Minor vibration detected,Service Required
Machine is running smoothly,Normal
Heavy vibration detected,Repair Required
Temperature increasing slowly,Service Required
Machine may fail soon,Repair Required
Equipment functioning as expected,Normal
Machine performance is normal,Normal
Heavy vibration detected,Repair Required
Burning smell coming from machine,Repair Required
Machine performance is normal,Normal
No issues found in the machine,Normal
Minor vibration detected,Service Required
Everything is working fine,Normal
Temperature increasing slowly,Service Required
No unusual sound detected,Normal
The machine needs servicing soon,Service Required
Motor is overheating,Repair Required
Machine may fail soon,Repair Required
Minor vibration detected,Service Required
Humidity level is higher than normal,Service Required
Performance slightly reduced,Service Required
Everything is working fine,Normal
Everything is working fine,Normal
Performance slightly reduced,Service Required
Machine may fail soon,Repair Required
Temperature increasing slowly,Service Required
Performance slightly reduced,Service Required
Machine is getting very hot,Repair Required
Machine is running smoothly,Normal
Everything is working fine,Normal
Everything is working fine,Normal
Burning smell coming from machine,Repair Required
Machine operating correctly,Normal
Severe overheating detected,Repair Required
Temperature increasing slowly,Service Required
Humidity level is higher than normal,Service Required
Motor making small noise,Service Required
Machine making loud noise,Repair Required
Machine is running smoothly,Normal
Machine operating correctly,Normal
Everything is working fine,Normal
Performance slightly reduced,Service Required
Performance slightly reduced,Service Required
Severe overheating detected,Repair Required
Temperature increasing slowly,Service Required
Motor making small noise,Service Required
Machine is running smoothly,Normal
The machine needs servicing soon,Service Required
No issues found in the machine,Normal
Machine is running smoothly,Normal
Machine is getting very hot,Repair Required
Motor making small noise,Service Required
Machine is getting very hot,Repair Required
Motor is overheating,Repair Required
Equipment functioning as expected,Normal
Performance slightly reduced,Service Required
Heavy vibration detected,Repair Required
Machine making loud noise,Repair Required
Machine may fail soon,Repair Required
Humidity level is higher than normal,Service Required
Machine performance is normal,Normal
Temperature is stable,Normal
Machine is slightly hot,Service Required
Temperature increasing slowly,Service Required
Minor vibration detected,Service Required
Machine is slightly hot,Service Required
Machine is shaking a lot,Repair Required
Machine making loud noise,Repair Required
Burning smell coming from machine,Repair Required
No issues found in the machine,Normal
Severe overheating detected,Repair Required
Motor is overheating,Repair Required
Machine may fail soon,Repair Required
The machine needs servicing soon,Service Required
Equipment functioning as expected,Normal
Machine is running smoothly,Normal
Minor vibration detected,Service Required
Equipment functioning as expected,Normal
Machine is getting very hot,Repair Required
Everything is working fine,Normal
Temperature is stable,Normal
Machine is running smoothly,Normal
Motor is overheating,Repair Required
Severe overheating detected,Repair Required
Burning smell coming from machine,Repair Required
Machine is running smoothly,Normal
Machine is running smoothly,Normal
Machine may fail soon,Repair Required
Burning smell coming from machine,Repair Required
Machine is slightly hot,Service Required
Equipment functioning as expected,Normal
Temperature increasing slowly,Service Required
Machine operating correctly,Normal
Machine making loud noise,Repair Required
No unusual sound detected,Normal
Severe overheating detected,Repair Required
Temperature increasing slowly,Service Required
