Machine_Type,Temperature_C,Vibration_mm_s,RPM,Pressure_bar,Humidity_percent,Power_kW,Status
CNC,39.29,2.28,3721,6.04,57.39,4.36,Normal
CNC,44.69,1.67,2865,5.53,32.39,5.03,Normal
CNC,40.38,3.2,3237,5.02,63.98,5.3,Normal
CNC,48.14,3.85,3423,5.14,39.13,3.49,Normal
CNC,40.51,2.97,2643,4.73,42.49,2.82,Normal
CNC,43.6,4.45,3210,5.59,46.59,3.84,Normal
CNC,44.32,1.64,3204,6.0,63.05,3.74,Normal
CNC,46.65,1.38,3374,5.37,57.25,3.35,Normal
CNC,57.45,2.89,3739,6.54,33.33,4.66,Normal
CNC,47.8,2.29,3016,5.28,65.41,4.28,Normal
CNC,52.61,4.28,3129,5.66,57.68,3.66,Normal
CNC,51.98,3.29,3145,5.55,31.74,4.71,Normal
CNC,54.5,2.25,3353,6.66,45.96,3.78,Normal
CNC,47.76,2.93,2556,5.36,35.24,4.35,Normal
CNC,50.63,3.11,3542,5.9,44.17,3.43,Normal
CNC,65.26,6.41,5000,10.95,50.86,8.09,Anomaly
CNC,68.32,5.87,4965,8.85,45.77,8.0,Anomaly
CNC,46.68,3.03,2861,5.72,38.18,3.81,Normal
CNC,39.67,2.87,3326,5.68,60.14,3.49,Normal
CNC,58.77,2.84,3160,5.61,61.24,4.36,Normal
CNC,51.4,1.93,3296,5.35,47.61,4.37,Normal
CNC,49.01,3.06,3652,5.9,62.59,3.8,Normal
CNC,45.57,2.91,3662,6.07,46.97,4.06,Normal
CNC,38.81,2.63,3108,5.72,62.32,4.88,Normal
CNC,82.41,7.11,3823,9.18,56.74,6.07,Anomaly
CNC,89.59,6.63,4545,8.61,34.87,8.31,Anomaly
CNC,46.16,2.42,2927,5.9,31.96,4.71,Normal
CNC,52.63,0.94,3401,5.55,49.24,4.88,Normal
CNC,50.34,2.48,3099,5.04,50.09,4.16,Normal
CNC,39.69,2.65,3102,5.77,69.22,4.14,Normal
CNC,46.82,2.79,2963,5.65,43.67,4.47,Normal
CNC,44.73,2.39,3382,6.84,46.42,3.97,Normal
CNC,45.49,2.98,3204,4.75,38.56,3.88,Normal
CNC,61.76,6.09,3990,7.41,44.49,7.57,Anomaly
CNC,80.54,4.36,4664,7.66,31.05,7.62,Anomaly
CNC,36.47,3.07,3407,5.75,64.92,4.47,Normal
CNC,43.62,2.83,3177,5.73,51.6,4.04,Normal
CNC,50.35,3.07,2763,5.04,46.75,4.71,Normal
CNC,45.84,3.29,3223,6.18,49.24,4.12,Normal
CNC,45.0,1.59,2820,5.94,66.17,4.47,Normal
CNC,41.69,3.53,2847,4.84,39.69,3.86,Normal
CNC,52.97,2.62,3409,4.97,38.24,4.61,Normal
CNC,49.58,2.56,3367,6.32,39.8,4.16,Normal
CNC,80.25,6.05,4277,9.0,44.57,6.07,Anomaly
CNC,48.48,2.09,2989,5.26,43.39,4.4,Normal
