text,topic,source_type,source_credibility,article_length,contradiction_score,semantic_similarity,readability_score,sentiment,trust_score
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Government Website,8,3858,0.66,0.75,78.72,Neutral,74.54
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,2895,0.87,0.56,89.87,Positive,83.81
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,166,0.34,0.5,83.86,Positive,85.5
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Government Website,8,4729,0.57,0.48,88.89,Positive,79.8
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,2856,0.88,0.73,59.13,Neutral,54.79
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Educational Website,7,4827,0.55,0.97,35.09,Positive,64.21
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,2857,0.84,0.71,90.05,Neutral,54.62
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,4126,0.2,0.45,87.54,Negative,67.5
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,4884,0.66,0.67,30.18,Positive,64.81
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,3538,0.19,0.84,32.24,Negative,50.64
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,4133,0.14,0.94,85.87,Positive,98.99
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,News Article,6,3556,0.45,0.47,45.53,Positive,50.78
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,3877,0.8,0.67,52.11,Positive,80.72
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Government Website,8,428,0.37,0.56,97.62,Neutral,87.21
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,2117,0.49,0.57,88.58,Positive,68.3
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,4808,0.81,0.54,94.86,Negative,84.49
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,2141,0.28,0.69,42.77,Neutral,82.04
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,3657,0.66,0.89,53.95,Neutral,80.18
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,2995,0.53,0.92,52.16,Negative,65.39
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,563,0.14,0.96,80.17,Neutral,100.0
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,1488,0.82,0.48,98.76,Positive,76.68
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,3130,0.35,0.53,87.38,Neutral,49.72
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Blog,4,2116,0.6,0.76,88.58,Positive,48.04
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,638,0.53,0.51,69.15,Negative,36.35
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Blog,4,3419,0.95,0.49,59.73,Negative,31.16
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Social Media Post,3,2702,0.28,0.79,53.95,Positive,43.75
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,1452,0.28,0.84,49.13,Negative,80.18
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,4661,0.44,0.72,78.18,Neutral,46.54
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,News Article,6,4380,0.56,0.8,36.03,Negative,56.39
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,2293,0.06,0.77,48.74,Negative,77.93
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,2675,0.62,0.65,57.83,Neutral,68.02
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,123,0.84,1.0,79.56,Negative,81.56
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3089,0.47,0.99,90.95,Neutral,100.0
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,2079,0.98,0.8,58.11,Positive,28.69
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,1347,0.0,0.46,83.51,Positive,58.38
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,1183,0.71,0.96,54.72,Negative,83.78
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,2562,0.69,0.68,96.23,Positive,74.81
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,3377,0.43,0.76,65.62,Positive,43.77
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,News Article,6,102,0.99,0.74,83.28,Positive,58.69
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,3515,0.26,0.92,42.45,Neutral,68.0
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,4920,0.28,0.91,41.19,Neutral,86.81
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,3743,0.07,0.98,70.08,Negative,100.0
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Blog,4,4792,0.57,0.81,94.72,Neutral,55.03
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,828,0.31,0.48,52.57,Neutral,72.03
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,145,0.64,0.82,35.1,Positive,78.85
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,2099,0.59,0.8,49.61,Positive,70.25
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,1863,0.26,0.8,91.61,Neutral,48.79
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Research Paper,9,3135,0.58,0.78,83.63,Negative,90.19
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,4352,0.12,0.48,37.7,Neutral,82.0
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,News Article,6,454,0.64,0.94,90.27,Positive,63.92
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Social Media Post,3,1269,0.83,0.5,52.44,Positive,18.83
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,1886,0.54,0.57,64.15,Positive,78.48
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,4775,0.64,0.51,92.6,Positive,83.94
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Social Media Post,3,730,0.32,0.9,93.6,Negative,47.81
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,4670,0.62,0.66,52.18,Positive,30.29
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,3044,0.98,0.71,88.94,Neutral,76.54
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,News Article,6,676,0.79,0.47,81.14,Negative,50.92
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,News Article,6,2550,0.13,0.43,86.07,Positive,72.8
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Social Media Post,3,2750,0.55,0.57,30.07,Neutral,23.21
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Government Website,8,336,0.59,0.51,63.79,Positive,67.73
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Research Paper,9,3060,0.13,0.76,87.23,Negative,100.0
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Educational Website,7,2842,0.81,0.49,44.27,Positive,50.31
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Blog,4,3486,0.46,0.45,73.76,Negative,46.1
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Blog,4,1853,0.49,0.87,43.72,Negative,41.09
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,1968,0.67,0.56,87.76,Neutral,81.78
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,News Article,6,2835,0.65,0.68,30.37,Negative,51.49
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,News Article,6,3752,0.74,0.45,31.61,Neutral,43.42
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Social Media Post,3,676,0.17,0.89,55.29,Positive,48.02
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Educational Website,7,2315,0.65,0.55,75.16,Neutral,64.37
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Blog,4,2490,0.82,0.46,61.4,Neutral,32.64
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,3071,0.88,0.47,91.38,Negative,81.5
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Social Media Post,3,4911,0.68,0.72,70.96,Neutral,31.84
"AI related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",AI,Social Media Post,3,4136,0.08,0.9,81.84,Positive,58.14
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,News Article,6,1611,0.61,0.61,69.16,Positive,60.45
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Educational Website,7,981,0.98,0.59,87.98,Negative,63.81
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,1773,0.12,0.81,55.11,Negative,85.52
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,2248,0.83,0.52,60.51,Neutral,74.98
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Government Website,8,3778,0.45,0.9,81.36,Negative,85.99
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Research Paper,9,704,0.07,0.75,68.24,Neutral,96.16
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,626,0.02,0.83,37.88,Neutral,92.2
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,News Article,6,221,0.88,0.55,58.94,Negative,49.4
"Technology related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Technology,Research Paper,9,1863,0.35,0.98,76.71,Positive,95.25
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Educational Website,7,3452,0.51,0.59,91.06,Negative,74.4
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Research Paper,9,2740,0.6,0.95,79.61,Positive,95.2
"Healthcare related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Healthcare,Research Paper,9,3407,0.49,0.65,71.65,Neutral,85.96
"Education related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Education,Social Media Post,3,4369,0.35,0.66,75.97,Positive,39.34
"Sports related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Sports,Research Paper,9,505,0.51,0.83,39.87,Negative,86.39
"Politics related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Politics,Educational Website,7,1252,0.2,0.69,86.64,Negative,86.6
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Research Paper,9,3032,0.2,0.61,38.73,Positive,87.93
"Environment related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Environment,Government Website,8,4997,0.04,0.81,84.14,Positive,91.26
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Research Paper,9,4611,0.62,0.45,86.7,Negative,85.29
"Finance related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Finance,Educational Website,7,1616,0.77,0.89,47.03,Neutral,65.79
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,News Article,6,1854,0.22,0.48,86.88,Positive,71.43
"Science related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Science,Government Website,8,3974,0.21,0.51,36.41,Positive,75.82
"Business related content discussing recent developments, analysis, and insights generated from multiple multimedia sources.",Business,Government Website,8,1595,0.68,0.42,61.39,Neutral,63.35
